sysID,sysName,sysDescription,sysDescription255,sysValue,sysValue255,sysType,spare,spare2
39,GDPRTraderAnonNotesOption,GDPR - Trader - Anonymisation - Notes Option,,2,,Int,,
40,GDPRTraderAnonLettersOption,GDPR - Trader - Anonymisation - Letters Option,,3,,Int,,
41,GDPRTraderAnonLinksOption,GDPR - Trader - Anonymisation - Links Option,,2,,Int,,
42,GDPREmployeeRetentionPeriod,GDPR - Employee - Retention Period (Years),,6,,Int,,
43,GDPREmployeeDisplayPIITree,GDPR - Employee - Display PII Tree on Close,,0,,Bit,,
44,GDPREmployeeAnonNotesOption,GDPR - Employee - Anonymisation - Notes Option,,2,,Int,,
53,GDPRCompanyLettersOption,GDPR - Company - Anonymisation - Letters Option,,3,,Int,,
45,GDPREmployeeAnonLettersOption,GDPR - Employee - Anonymisation - Letters Option,,3,,Int,,
46,GDPREmployeeAnonLinksOption,GDPR - Employee - Anonymisation - Links Option,,2,,Int,,
47,NotificationWarningColour,Warning Notification Colour,,43506,,Int,,
48,NotificationWarningFontColour,Warning Notification Font Colour,,16777215,,Int,,
49,GDPRCompanyAnonLocations,GDPR - Company - Locations contain PII Data,,0,,Bit,,
50,GDPRCompanyAnonCostCentres,GDPR - Company - Cost Centres contain PII Data,,0,,Bit,,
51,GDPRCompanyAnonDepartment,GDPR - Company - Departments contain PII Data,,0,,Bit,,
52,GDPRCompanyNotesOption,GDPR - Company - Anonymisation - Notes Option,,2,,Int,,
54,GDPRCompanyLinksOption,GDPR - Company - Anonymisation - Links Option,,2,,Int,,
38,GDPRTraderDisplayPIITree,GDPR - Trader - Display PII Tree on Close,,0,,Bit,,
37,GDPRTraderRetentionPeriod,GDPR - Trader - Retention Period (Years),,6,,Int,,
36,AnonymisedTime,Anonymisation Time (HHMMSS),,,,Varchar(6),,
35,AnonymisedDate,Anonymisation Date (YYYYMMDD),,,,Varchar(8),,
34,Anonymised,Data has been Anonymised,,0,,Bit,,
33,SuspendUsersLoginFailureCount,Suspend Users Login Failure Count,,3,,Int,,
32,SuspendUsersAfterLoginFailures,Suspend Users After Login Failures,,0,,Bit,,
31,RequireSymbol,Require Symbol,,0,,Bit,,
30,RequireNumeric,Require Numeric,,0,,Bit,,
29,RequireLowercase,Require Lowercase,,0,,Bit,,
28,RequireUppercase,Require Uppercase,,0,,Bit,,
27,MinimumPasswordLength,Minimum Password Length,,0,,Int,,
26,AuthenticationMode,AuthenticationMode,,Exchequer,,Varchar(20),,
25,ssCurrImportTol,Currency Import Tolerance,,0,,float,,
24,isTaxHomeRegion,Tax - Home Region ID,,0,,int,,
23,isLastReportMode,Last Intrastat Report Mode,,0,,int,,
22,isLastReportToDate,Last Intrastat Report To Date,,,,varchar(8),,
21,isLastReportFromDate,Last Intrastat Report From Date,,,,varchar(8),,
20,isLastReportPeriodYear,Last Intrastat Report Period Year,,,,varchar(4),,
19,isLastClosedDispatchesDate,Last Closed Intrastat Dispatches Date,,,,varchar(8),,
18,isLastClosedArrivalsDate,Last Closed Intrastat Arrivals Date,,,,varchar(8),,
17,isShowModeOfTransport,Show Mode of Transport,,1,,int,,
16,isShowDeliveryTerms,Show Delivery Terms,,1,,int,,
15,PPDGreenFontStyle,PPD Expiry - 'Green' Font Style (1=Bold / 2=Underline / 4=Italic / 8=Strikeout),,0,,int,,
14,PPDGreenFontColour,PPD Expiry - 'Green' Font Colour,,0,,int,,
13,PPDGreenBackgroundColour,PPD Expiry - 'Green' Background Colour,,8454016,,int,,
12,PPDAmberFontStyle,PPD Expiry - 'Amber' Font Style (1=Bold / 2=Underline / 4=Italic / 8=Strikeout),,0,,int,,
11,PPDAmberFontColour,PPD Expiry - 'Amber' Font Colour,,0,,int,,
10,PPDAmberBackgroundColour,PPD Expiry - 'Amber' Background Colour,,8454143,,int,,
9,PPDRedFontStyle,PPD Expiry - 'Red' Font Style (1=Bold / 2=Underline / 4=Italic / 8=Strikeout),,1,,int,,
8,PPDRedFontColour,PPD Expiry - 'Red' Font Colour,,16777215,,int,,
7,PPDRedBackgroundColour,PPD Expiry - 'Red' Background Colour,,255,,int,,
6,PPDExpiredFontStyle,PPD Expiry - Expired Font Style (1=Bold / 2=Underline / 4=Italic / 8=Strikeout),,4,,int,,
5,PPDExpiredFontColour,PPD Expiry - Expired Font Colour,,0,,int,,
4,PPDExpiredBackgroundColour,PPD Expiry - Expired Background Colour,,12632256,,int,,
3,PPDAmberDays,PPD Expiry - Upper Limit of days for 'Amber' category,,15,,int,,
2,PPDRedDays,PPD Expiry - Upper Limit of days for 'Red' category,,5,,int,,
1,ssSettlementWriteOffCtrlGL,Write-Off GL Control Code,,699911,,int,,
0,DataVersionNo,Data Version Number,,v13.7.0,,varchar(20),,
55,smtpUserId,SMTP - Default User Id,,,,Varchar(50),,
56,smtpPassword,SMTP - Default Password,,,,Varchar(100),,
57,smtpPort,SMTP - Connection Port,,25,,Int,,
58,smtpUseTLS,SMTP - Use TLS,,0,,Bit,,
59,TaxPortalSubmissionMethod,Tax Portal - Submission Method,,CSVEXPORT,,varchar(20),,
60,TaxPortalOrganisationID,Tax Portal - Organisation ID,,,,varchar(255),,
61,TaxPortalClientID,Tax Portal - Client ID,,,,varchar(255),,
62,TaxPortalClientSecret,Tax Portal - Client Secret,,,,varchar(255),,
63,TaxPortalProxyMode,Tax Portal - Proxy Mode,,PROXYWINDOWS,,varchar(20),,
64,TaxPortalProxyHost,Tax Portal - Proxy Host,,,,varchar(255),,
65,TaxPortalProxyPortNumber,Tax Portal - Proxy Port Number,,80,,int,,
66,TaxPortalProxyUserName,Tax Portal - Proxy User Name,,,,varchar(255),,
67,TaxPortalProxyPassword,Tax Portal - Proxy Password,,,,varchar(255),,
68,TaxPortalProxyUseSSL,Tax Portal - Proxy Use SSL,,1,,Bit,,
69,TaxPortalURL,Tax Portal URL,,www.OneAdvanced.com/TaxPortal,,varchar(255),,
70,BTPEdition,BTP Edition,,Base Edition,,varchar(20),,
71,SuccessEmails,Success Emails,,,,varchar(1000),,
72,FailureEmails,Failure Emails,,,,varchar(1000),,
73,EORINumber,EORI Number,,,,varchar(20),,
74,NIBCompany,Northern Ireland Based Company?,,0,,Bit,,
75,OAuth2Enabled,SMTP - Enable OAuth2,,0,,Bit,,
